project,mop,lazy,trace,mop (GB),lazy (GB),trace (GB)
opengeospatial-ets-ogcapi-features10,10909428,52237292,50968440,10.909428,52.237292,50.96844
Kuangcp-NettyBook2,4514180,6719560,6529560,4.51418,6.71956,6.52956
qoomon-banking-swift-messages-java,11299680,15099528,14561180,11.29968,15.099528,14.56118
dernasherbrezon-jradio,13241972,47001968,45180672,13.241972,47.001968,45.180672
fortitudetec-sonar-ruby-plugin,10904312,34825392,33098708,10.904312,34.825392,33.098708
delving-x3ml,11216984,15467244,14448212,11.216984,15.467244,14.448212
vangj-jbayes,7858136,14012340,13000584,7.858136,14.01234,13.000584
uwolfer-gerrit-rest-java-client,10994024,20685308,18992772,10.994024,20.685308,18.992772
apache-commons-compress,13973140,54942828,54942828,13.97314,54.942828,54.942828
iotaledger-cliri,11523640,32352228,29580288,11.52364,32.352228,29.580288
yurelle-Base45Encoder,1337152,9405708,8552012,1.337152,9.405708,8.552012
arnaugarcia-sallefy,11530100,114663440,114663440,11.5301,114.66344,114.66344
Ant-Grand-Grand,9786124,17100804,15231460,9.786124,17.100804,15.23146
reckart-tt4j,661736,5304664,4706308,0.661736,5.304664,4.706308
xspec-xspec-maven-plugin-1,19198884,63109612,63109612,19.198884,63.109612,63.109612
apache-sling-org-apache-sling-servlets-resolver,11310712,18939312,16553100,11.310712,18.939312,16.5531
indeedeng-mph-table,10475100,98851388,98851388,10.4751,98.851388,98.851388
HelixNetwork-pendulum,13845120,43513835,51111292,13.84512,43.513835,51.111292
sangupta-murmur,2467612,48720752,40384772,2.467612,48.720752,40.384772
rythmengine-rythmengine,13467964,34453576,34453576,13.467964,34.453576,34.453576
zencoder-zencoder-java,8558564,8767248,7067996,8.558564,8.767248,7.067996
jsonld-java-jsonld-java,15513616,43940228,43940228,15.513616,43.940228,43.940228
stefanbirkner-fake-sftp-server-rule,8471172,13062484,10241044,8.471172,13.062484,10.241044
Ingenico-ePayments-connect-sdk-java,10718420,15538112,10788352,10.71842,15.538112,10.788352
mangstadt-biweekly,9295228,28504412,28504412,9.295228,28.504412,28.504412
hageldave-ezFFTW,2791348,4696280,3109524,2.791348,4.69628,3.109524
apache-commons-jxpath,10756524,23742848,15461492,10.756524,23.742848,15.461492
ITArray-automotion-java,10323588,26099712,26099712,10.323588,26.099712,26.099712
joniles-mpxj,13187400,97518224,97518224,13.1874,97.518224,97.518224
Sayi-swagger-diff,7060860,13514908,14197660,7.06086,13.514908,14.19766
